0,0,0
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
0,11,0
0,12,0
0,13,0
0,14,0
0,15,0
0,16,0
0,17,0
0,18,0
0,19,0
0,20,0
0,21,0
0,22,0
0,23,0
0,24,0
0,25,0
0,26,0
0,27,0
0,28,0
0,29,30
1,0,0
1,1,30
1,2,30
1,3,30
1,4,30
1,5,30
1,6,30
1,7,30
1,8,30
1,9,30
1,10,30
1,11,30
1,12,30
1,13,30
1,14,30
1,15,30
1,16,30
1,17,30
1,18,30
1,19,30
1,20,30
1,21,30
1,22,30
1,23,30
1,24,30
1,25,30
1,26,30
1,27,30
1,28,30
1,29,30
2,0,0
2,1,30
2,2,30
2,3,30
2,4,30
2,5,30
2,6,30
2,7,30
2,8,30
2,9,30
2,10,30
2,11,30
2,12,30
2,13,30
2,14,30
2,15,30
2,16,30
2,17,30
2,18,30
2,19,30
2,20,30
2,21,30
2,22,30
2,23,30
2,24,30
2,25,30
2,26,30
2,27,30
2,28,30
2,29,30
3,0,0
3,1,30
3,2,30
3,3,30
3,4,30
3,5,30
3,6,30
3,7,30
3,8,30
3,9,30
3,10,30
3,11,30
3,12,30
3,13,30
3,14,30
3,15,30
3,16,30
3,17,30
3,18,30
3,19,30
3,20,30
3,21,30
3,22,30
3,23,30
3,24,30
3,25,30
3,26,30
3,27,30
3,28,30
3,29,30
4,0,0
4,1,30
4,2,30
4,3,30
4,4,30
4,5,30
4,6,30
4,7,30
4,8,30
4,9,30
4,10,30
4,11,30
4,12,30
4,13,30
4,14,30
4,15,30
4,16,30
4,17,30
4,18,30
4,19,30
4,20,30
4,21,30
4,22,30
4,23,30
4,24,30
4,25,30
4,26,30
4,27,30
4,28,30
4,29,30
5,0,0
5,1,30
5,2,30
5,3,30
5,4,30
5,5,30
5,6,30
5,7,30
5,8,30
5,9,30
5,10,30
5,11,30
5,12,30
5,13,30
5,14,30
5,15,30
5,16,30
5,17,30
5,18,30
5,19,30
5,20,30
5,21,30
5,22,30
5,23,30
5,24,30
5,25,30
5,26,30
5,27,30
5,28,30
5,29,30
6,0,0
6,1,30
6,2,30
6,3,30
6,4,30
6,5,30
6,6,30
6,7,30
6,8,30
6,9,30
6,10,30
6,11,30
6,12,30
6,13,30
6,14,30
6,15,30
6,16,30
6,17,30
6,18,30
6,19,30
6,20,30
6,21,30
6,22,30
6,23,30
6,24,30
6,25,30
6,26,30
6,27,30
6,28,30
6,29,30
7,0,0
7,1,30
7,2,30
7,3,30
7,4,30
7,5,30
7,6,30
7,7,30
7,8,30
7,9,30
7,10,30
7,11,30
7,12,30
7,13,30
7,14,30
7,15,30
7,16,30
7,17,30
7,18,30
7,19,30
7,20,30
7,21,30
7,22,30
7,23,30
7,24,30
7,25,30
7,26,30
7,27,30
7,28,30
7,29,30
8,0,0
8,1,30
8,2,30
8,3,30
8,4,30
8,5,30
8,6,30
8,7,30
8,8,30
8,9,30
8,10,30
8,11,30
8,12,30
8,13,30
8,14,30
8,15,30
8,16,30
8,17,30
8,18,30
8,19,30
8,20,30
8,21,30
8,22,30
8,23,30
8,24,30
8,25,30
8,26,30
8,27,30
8,28,30
8,29,30
9,0,0
9,1,30
9,2,30
9,3,30
9,4,30
9,5,30
9,6,30
9,7,30
9,8,30
9,9,30
9,10,30
9,11,30
9,12,30
9,13,30
9,14,30
9,15,30
9,16,30
9,17,30
9,18,30
9,19,30
9,20,30
9,21,30
9,22,30
9,23,30
9,24,30
9,25,30
9,26,30
9,27,30
9,28,30
9,29,30
10,0,0
10,1,30
10,2,30
10,3,30
10,4,30
10,5,30
10,6,30
10,7,30
10,8,30
10,9,30
10,10,30
10,11,30
10,12,30
10,13,30
10,14,30
10,15,30
10,16,30
10,17,30
10,18,30
10,19,30
10,20,30
10,21,30
10,22,30
10,23,30
10,24,30
10,25,30
10,26,30
10,27,30
10,28,30
10,29,30
11,0,0
11,1,30
11,2,30
11,3,30
11,4,30
11,5,30
11,6,30
11,7,30
11,8,30
11,9,30
11,10,30
11,11,30
11,12,30
11,13,30
11,14,30
11,15,30
11,16,30
11,17,30
11,18,30
11,19,30
11,20,30
11,21,30
11,22,30
11,23,30
11,24,30
11,25,30
11,26,30
11,27,30
11,28,30
11,29,30
12,0,0
12,1,30
12,2,30
12,3,30
12,4,30
12,5,30
12,6,30
12,7,30
12,8,30
12,9,30
12,10,30
12,11,30
12,12,30
12,13,30
12,14,30
12,15,30
12,16,30
12,17,30
12,18,30
12,19,30
12,20,30
12,21,30
12,22,30
12,23,30
12,24,30
12,25,30
12,26,30
12,27,30
12,28,30
12,29,30
13,0,0
13,1,30
13,2,30
13,3,30
13,4,30
13,5,30
13,6,30
13,7,30
13,8,30
13,9,30
13,10,30
13,11,30
13,12,30
13,13,30
13,14,30
13,15,30
13,16,30
13,17,30
13,18,30
13,19,30
13,20,30
13,21,30
13,22,30
13,23,30
13,24,30
13,25,30
13,26,30
13,27,30
13,28,30
13,29,30
14,0,0
14,1,30
14,2,30
14,3,30
14,4,30
14,5,30
14,6,30
14,7,30
14,8,30
14,9,30
14,10,30
14,11,30
14,12,30
14,13,30
14,14,30
14,15,30
14,16,30
14,17,30
14,18,30
14,19,30
14,20,30
14,21,30
14,22,30
14,23,30
14,24,30
14,25,30
14,26,30
14,27,30
14,28,30
14,29,30
15,0,0
15,1,30
15,2,30
15,3,30
15,4,30
15,5,30
15,6,30
15,7,30
15,8,30
15,9,30
15,10,30
15,11,30
15,12,30
15,13,30
15,14,30
15,15,30
15,16,30
15,17,30
15,18,30
15,19,30
15,20,30
15,21,30
15,22,30
15,23,30
15,24,30
15,25,30
15,26,30
15,27,30
15,28,30
15,29,30
16,0,0
16,1,30
16,2,30
16,3,30
16,4,30
16,5,30
16,6,30
16,7,30
16,8,30
16,9,30
16,10,30
16,11,30
16,12,30
16,13,30
16,14,30
16,15,30
16,16,30
16,17,30
16,18,30
16,19,30
16,20,30
16,21,30
16,22,30
16,23,30
16,24,30
16,25,30
16,26,30
16,27,30
16,28,30
16,29,30
17,0,0
17,1,30
17,2,30
17,3,30
17,4,30
17,5,30
17,6,30
17,7,30
17,8,30
17,9,30
17,10,30
17,11,30
17,12,30
17,13,30
17,14,30
17,15,30
17,16,30
17,17,30
17,18,30
17,19,30
17,20,30
17,21,30
17,22,30
17,23,30
17,24,30
17,25,30
17,26,30
17,27,30
17,28,30
17,29,30
18,0,0
18,1,30
18,2,30
18,3,30
18,4,30
18,5,30
18,6,30
18,7,30
18,8,30
18,9,30
18,10,30
18,11,30
18,12,30
18,13,30
18,14,30
18,15,30
18,16,30
18,17,30
18,18,30
18,19,30
18,20,30
18,21,30
18,22,30
18,23,30
18,24,30
18,25,30
18,26,30
18,27,30
18,28,30
18,29,30
19,0,0
19,1,30
19,2,30
19,3,30
19,4,30
19,5,30
19,6,30
19,7,30
19,8,30
19,9,30
19,10,30
19,11,30
19,12,30
19,13,30
19,14,30
19,15,30
19,16,30
19,17,30
19,18,30
19,19,30
19,20,30
19,21,30
19,22,30
19,23,30
19,24,30
19,25,30
19,26,30
19,27,30
19,28,30
19,29,30
20,0,0
20,1,30
20,2,30
20,3,30
20,4,30
20,5,30
20,6,30
20,7,30
20,8,30
20,9,30
20,10,30
20,11,30
20,12,30
20,13,30
20,14,30
20,15,30
20,16,30
20,17,30
20,18,30
20,19,30
20,20,30
20,21,30
20,22,30
